Entity,Code,Year,"Obesity among adults, BMI >= 30 kg/m2 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years of age"
Afghanistan,AFG,2023,17.805538
Albania,ALB,2023,26.45891
Algeria,DZA,2023,23.82292
Andorra,AND,2023,19.466227
Angola,AGO,2023,11.380967
Antigua and Barbuda,ATG,2023,34.71318
Argentina,ARG,2023,37.01727
Armenia,ARM,2023,28.00131
Australia,AUS,2023,31.911934
Austria,AUT,2023,17.978148
Azerbaijan,AZE,2023,28.433779
Bahamas,BHS,2023,47.772232
Bahrain,BHR,2023,35.240536
Bangladesh,BGD,2023,5.404747
Barbados,BRB,2023,38.951454
Belarus,BLR,2023,26.04441
Belgium,BEL,2023,22.543743
Belize,BLZ,2023,42.42959
Benin,BEN,2023,10.48862
Bhutan,BTN,2023,12.380952
Bolivia,BOL,2023,28.02505
Bosnia and Herzegovina,BIH,2023,25.655657
Botswana,BWA,2023,17.496462
Brazil,BRA,2023,29.83751
Brunei,BRN,2023,36.616688
Bulgaria,BGR,2023,23.723598
Burkina Faso,BFA,2023,6.5721436
Burundi,BDI,2023,4.4635544
Cambodia,KHM,2023,4.635887
Cameroon,CMR,2023,14.155021
Canada,CAN,2023,27.025038
Cape Verde,CPV,2023,15.898386
Central African Republic,CAF,2023,8.462827
Chad,TCD,2023,6.0243893
Chile,CHL,2023,40.153976
China,CHN,2023,8.607577
Colombia,COL,2023,24.606188
Comoros,COM,2023,15.510419
Congo,COG,2023,11.140745
Costa Rica,CRI,2023,32.652946
Cote d'Ivoire,CIV,2023,11.530246
Croatia,HRV,2023,35.697617
Cuba,CUB,2023,24.246813
Cyprus,CYP,2023,23.579716
Czechia,CZE,2023,31.078094
Democratic Republic of Congo,COD,2023,5.6179557
Denmark,DNK,2023,15.071228
Djibouti,DJI,2023,10.716151
Dominica,DMA,2023,32.185028
Dominican Republic,DOM,2023,29.882477
East Timor,TLS,2023,3.0203624
Ecuador,ECU,2023,27.889198
Egypt,EGY,2023,42.357826
El Salvador,SLV,2023,30.722786
Equatorial Guinea,GNQ,2023,18.261003
Eritrea,ERI,2023,3.526189
Estonia,EST,2023,24.981207
Eswatini,SWZ,2023,26.360474
Ethiopia,ETH,2023,2.369134
Fiji,FJI,2023,38.401283
Finland,FIN,2023,25.841282
France,FRA,2023,12.709852
Gabon,GAB,2023,21.065214
Gambia,GMB,2023,10.696513
Georgia,GEO,2023,39.264095
Germany,DEU,2023,24.401688
Ghana,GHA,2023,13.339685
Greece,GRC,2023,33.259403
Greenland,GRL,2023,28.745794
Grenada,GRD,2023,31.125874
Guatemala,GTM,2023,25.86171
Guinea,GIN,2023,8.86702
Guinea-Bissau,GNB,2023,10.902318
Guyana,GUY,2023,28.93201
Haiti,HTI,2023,10.37998
Honduras,HND,2023,29.987526
Hungary,HUN,2023,36.25648
Iceland,ISL,2023,23.153383
India,IND,2023,7.571122
Indonesia,IDN,2023,11.400893
Iran,IRN,2023,25.261658
Iraq,IRQ,2023,36.42911
Ireland,IRL,2023,30.281746
Israel,ISR,2023,23.285547
Italy,ITA,2023,18.037563
Jamaica,JAM,2023,34.829773
Japan,JPN,2023,5.0340834
Jordan,JOR,2023,33.21776
Kazakhstan,KAZ,2023,21.862492
Kenya,KEN,2023,10.030712
Kiribati,KIR,2023,45.006172
Kuwait,KWT,2023,41.28636
Kyrgyzstan,KGZ,2023,20.76793
Laos,LAO,2023,8.48972
Latvia,LVA,2023,27.737549
Lebanon,LBN,2023,31.15567
Lesotho,LSO,2023,19.66638
Liberia,LBR,2023,15.661231
Libya,LBY,2023,33.36376
Lithuania,LTU,2023,26.207373
Luxembourg,LUX,2023,20.666752
Madagascar,MDG,2023,3.8280995
Malawi,MWI,2023,6.3852744
Malaysia,MYS,2023,22.937288
Maldives,MDV,2023,17.316954
Mali,MLI,2023,11.065993
Malta,MLT,2023,33.243935
Marshall Islands,MHL,2023,41.267246
Mauritania,MRT,2023,21.513779
Mauritius,MUS,2023,20.673388
Mexico,MEX,2023,36.702656
Micronesia (country),FSM,2023,46.279476
Moldova,MDA,2023,27.02871
Mongolia,MNG,2023,24.691456
Montenegro,MNE,2023,20.234118
Morocco,MAR,2023,21.533735
Mozambique,MOZ,2023,8.905512
Myanmar,MMR,2023,7.9801545
Namibia,NAM,2023,16.186716
Nauru,NRU,2023,71.184906
Nepal,NPL,2023,7.1911736
Netherlands,NLD,2023,16.816132
New Zealand,NZL,2023,34.359642
Nicaragua,NIC,2023,33.27313
Niger,NER,2023,5.7145605
Nigeria,NGA,2023,11.62984
North Korea,PRK,2023,11.531123
North Macedonia,MKD,2023,30.65815
Norway,NOR,2023,20.430187
Oman,OMN,2023,29.058323
Pakistan,PAK,2023,22.430767
Palau,PLW,2023,42.006973
Palestine,PSE,2023,32.971264
Panama,PAN,2023,36.843
Papua New Guinea,PNG,2023,27.065336
Paraguay,PRY,2023,33.229572
Peru,PER,2023,28.157425
Philippines,PHL,2023,9.254258
Poland,POL,2023,25.723726
Portugal,PRT,2023,23.006374
Puerto Rico,PRI,2023,41.330875
Qatar,QAT,2023,41.91146
Romania,ROU,2023,36.64034
Russia,RUS,2023,21.420443
Rwanda,RWA,2023,4.9020166
Saint Kitts and Nevis,KNA,2023,47.204964
Saint Lucia,LCA,2023,34.529903
Saint Vincent and the Grenadines,VCT,2023,34.29296
Samoa,WSM,2023,62.669434
Sao Tome and Principe,STP,2023,15.775804
Saudi Arabia,SAU,2023,38.78293
Senegal,SEN,2023,9.801421
Serbia,SRB,2023,25.237143
Seychelles,SYC,2023,33.919697
Sierra Leone,SLE,2023,7.069082
Singapore,SGP,2023,15.878724
Slovakia,SVK,2023,29.626179
Slovenia,SVN,2023,22.272335
Solomon Islands,SLB,2023,20.529776
Somalia,SOM,2023,12.515932
South Africa,ZAF,2023,30.865429
South Korea,KOR,2023,7.1282735
South Sudan,SSD,2023,7.8904567
Spain,ESP,2023,19.28985
Sri Lanka,LKA,2023,10.696547
Sudan,SDN,2023,15.467356
Suriname,SUR,2023,30.046003
Sweden,SWE,2023,18.402994
Switzerland,CHE,2023,12.680827
Syria,SYR,2023,29.827124
Tajikistan,TJK,2023,20.313622
Tanzania,TZA,2023,9.989563
Thailand,THA,2023,14.925946
Togo,TGO,2023,11.606833
Tonga,TON,2023,71.568474
Trinidad and Tobago,TTO,2023,31.466585
Tunisia,TUN,2023,27.22567
Turkey,TUR,2023,30.360369
Turkmenistan,TKM,2023,20.524183
Tuvalu,TUV,2023,64.14551
Uganda,UGA,2023,7.646965
Ukraine,UKR,2023,27.759678
United Arab Emirates,ARE,2023,30.26771
United Kingdom,GBR,2023,29.023058
United States,USA,2023,41.57081
Uruguay,URY,2023,35.41038
Uzbekistan,UZB,2023,29.433155
Vanuatu,VUT,2023,21.17987
Venezuela,VEN,2023,23.066704
Vietnam,VNM,2023,2.2934575
Yemen,YEM,2023,11.206609
Zambia,ZMB,2023,9.5852585
Zimbabwe,ZWE,2023,12.747547